entry_id,repetition,line_id,abstraction_similarity,surface_similarity
E001,1,L001,0.6233957,0.46516942
E001,1,L002,0.53666367,0.40805609
E001,1,L003,0.51576421,0.40945118
E001,1,L004,0.61248595,0.23942075
E001,1,L005,0.53966988,0.45033555
E001,1,L006,0.37720598,0.39175764
E001,1,L007,0.27411359,0.25863902
E001,1,L008,0.49015476,0.33863505
E001,1,L011,0.36000183,0.22235368
E001,1,L012,0.39052226,0.24037461
E001,1,L013,0.23978002,0.18839022
E001,1,L014,0.32424468,0.25336987
E001,1,L015,0.36892143,0.20238103
E001,1,L016,0.25889761,0.27046326
E001,1,L017,0.18312779,0.16582131
E001,1,L018,0.28878751,0.40796152
E001,1,L021,0.32675656,0.18881851
E001,1,L022,0.20437847,0.23476122
E001,1,L023,0.26441712,0.28718779
E001,1,L024,0.37583298,0.24724279
E001,1,L025,0.2198326,0.30763665
E001,1,L026,0.123274,0.25253314
E001,1,L027,0.26492551,0.23321607
E001,1,L028,0.19105789,0.27622327
E001,1,L031,0.26431948,0.2153315
E001,1,L032,0.29559054,0.23526478
E001,1,L033,0.19329446,0.16727174
E001,1,L034,0.21871232,0.26989542
E001,1,L035,0.3007904,0.26087715
E001,1,L036,0.29257182,0.27671936
E001,1,L037,0.29354029,0.27918412
E001,1,L038,0.25538431,0.31971013
E001,1,L041,0.28503062,0.26400375
E001,1,L042,0.35987348,0.24984217
E001,1,L043,0.36282546,0.27873331
E001,1,L044,0.22133561,0.28449379
E001,1,L045,0.36239314,0.27583983
E001,1,L046,0.31192995,0.22937798
E001,1,L047,0.34093542,0.25291096
E001,1,L048,0.31868533,0.19655806
E001,1,L051,0.42668992,0.24377809
E001,1,L052,0.26389684,0.22482633
E001,1,L053,0.38603348,0.27397873
E001,1,L054,0.393439,0.15929549
E001,1,L055,0.33706349,0.30084793
E001,1,L056,0.36141249,0.22654205
E001,1,L057,0.31994699,0.30358833
E001,1,L058,0.43462851,0.2878302
E001,1,L061,0.38099375,0.24388239
E001,1,L062,0.27639581,0.25765464
E001,1,L063,0.34857002,0.24772928
